,Timestamp,Functioning Day,Holiday,Seasons,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Rented Bike Count
0,2017-01-12 00:00:00,Yes,No Holiday,Winter,-5.2,37.0,2.2,2000.0,-17.6,0.0,0.0,0.0,254
1,2017-01-12 01:00:00,Yes,No Holiday,Winter,-5.5,38.0,0.8,2000.0,-17.6,0.0,0.0,0.0,204
2,2017-01-12 02:00:00,Yes,No Holiday,Winter,-6.0,39.0,1.0,2000.0,-17.7,0.0,0.0,0.0,173
3,2017-01-12 03:00:00,Yes,No Holiday,Winter,-6.2,40.0,0.9,2000.0,-17.6,0.0,0.0,0.0,107
4,2017-01-12 04:00:00,Yes,No Holiday,Winter,-6.0,36.0,2.3,2000.0,-18.6,0.0,0.0,0.0,78
5,2017-01-12 05:00:00,Yes,No Holiday,Winter,-6.4,37.0,1.5,2000.0,-18.7,0.0,0.0,0.0,100
6,2017-01-12 06:00:00,Yes,No Holiday,Winter,-6.6,35.0,1.3,2000.0,-19.5,0.0,0.0,0.0,181
7,2017-01-12 07:00:00,Yes,No Holiday,Winter,-7.4,38.0,0.9,2000.0,-19.3,0.0,0.0,0.0,460
8,2017-01-12 08:00:00,Yes,No Holiday,Winter,-7.6,37.0,1.1,2000.0,-19.8,0.01,0.0,0.0,930
9,2017-01-12 09:00:00,Yes,No Holiday,Winter,-6.5,27.0,0.5,1928.0,-22.4,0.23,0.0,0.0,490
10,2017-01-12 10:00:00,Yes,No Holiday,Winter,-3.5,24.0,1.2,1996.0,-21.2,0.65,0.0,0.0,339
11,2017-01-12 11:00:00,Yes,No Holiday,Winter,-0.5,21.0,1.3,1936.0,-20.2,0.94,0.0,0.0,360
12,2017-01-12 12:00:00,Yes,No Holiday,Winter,1.7,23.0,1.4,2000.0,-17.2,1.11,0.0,0.0,449
13,2017-01-12 13:00:00,Yes,No Holiday,Winter,2.4,25.0,1.6,2000.0,-15.6,1.16,0.0,0.0,451
14,2017-01-12 14:00:00,Yes,No Holiday,Winter,3.0,26.0,2.0,2000.0,-14.6,1.01,0.0,0.0,447
15,2017-01-12 15:00:00,Yes,No Holiday,Winter,2.1,36.0,3.2,2000.0,-11.4,0.54,0.0,0.0,463
16,2017-01-12 16:00:00,Yes,No Holiday,Winter,1.2,54.0,4.2,793.0,-7.0,0.24,0.0,0.0,484
17,2017-01-12 17:00:00,Yes,No Holiday,Winter,0.8,58.0,1.6,2000.0,-6.5,0.08,0.0,0.0,555
18,2017-01-12 18:00:00,Yes,No Holiday,Winter,0.6,66.0,1.4,2000.0,-5.0,0.0,0.0,0.0,862
19,2017-01-12 19:00:00,Yes,No Holiday,Winter,0.0,77.0,1.7,2000.0,-3.5,0.0,0.0,0.0,600
20,2017-01-12 20:00:00,Yes,No Holiday,Winter,-0.3,79.0,1.5,1913.0,-3.5,0.0,0.0,0.0,426
21,2017-01-12 21:00:00,Yes,No Holiday,Winter,-0.8,81.0,0.8,1687.0,-3.6,0.0,0.0,0.0,405
22,2017-01-12 22:00:00,Yes,No Holiday,Winter,-0.9,83.0,1.5,1380.0,-3.4,0.0,0.0,0.0,398
23,2017-01-12 23:00:00,Yes,No Holiday,Winter,-1.3,84.0,1.0,1265.0,-3.6,0.0,0.0,0.0,323
24,2017-02-12 00:00:00,Yes,No Holiday,Winter,-1.8,87.0,1.1,994.0,-3.6,0.0,0.0,0.0,328
25,2017-02-12 01:00:00,Yes,No Holiday,Winter,-2.2,86.0,0.6,990.0,-4.2,0.0,0.0,0.0,308
26,2017-02-12 02:00:00,Yes,No Holiday,Winter,-2.9,86.0,1.5,1256.0,-4.9,0.0,0.0,0.0,262
27,2017-02-12 03:00:00,Yes,No Holiday,Winter,-3.5,81.0,2.2,1221.0,-6.2,0.0,0.0,0.0,167
28,2017-02-12 04:00:00,Yes,No Holiday,Winter,-3.8,79.0,2.0,1167.0,-6.9,0.0,0.0,0.0,89
29,2017-02-12 05:00:00,Yes,No Holiday,Winter,-4.0,79.0,1.5,1202.0,-7.1,0.0,0.0,0.0,79
30,2017-02-12 06:00:00,Yes,No Holiday,Winter,-4.3,82.0,2.1,1178.0,-6.9,0.0,0.0,0.0,70
31,2017-02-12 07:00:00,Yes,No Holiday,Winter,-4.4,81.0,2.5,1276.0,-7.1,0.0,0.0,0.0,146
32,2017-02-12 08:00:00,Yes,No Holiday,Winter,-4.2,79.0,2.1,1436.0,-7.3,0.01,0.0,0.0,219
33,2017-02-12 09:00:00,Yes,No Holiday,Winter,-2.9,68.0,1.6,1487.0,-7.9,0.3,0.0,0.0,328
34,2017-02-12 10:00:00,Yes,No Holiday,Winter,-0.4,57.0,1.6,1309.0,-7.8,0.8,0.0,0.0,334
35,2017-02-12 11:00:00,Yes,No Holiday,Winter,1.9,49.0,1.8,1406.0,-7.7,1.0,0.0,0.0,388
36,2017-02-12 12:00:00,Yes,No Holiday,Winter,4.3,41.0,1.3,1666.0,-7.8,1.09,0.0,0.0,479
37,2017-02-12 13:00:00,Yes,No Holiday,Winter,6.0,36.0,1.8,1780.0,-7.9,1.12,0.0,0.0,606
38,2017-02-12 14:00:00,Yes,No Holiday,Winter,7.3,35.0,1.3,1955.0,-7.1,0.99,0.0,0.0,611
39,2017-02-12 15:00:00,Yes,No Holiday,Winter,7.6,41.0,2.3,1953.0,-4.8,0.74,0.0,0.0,589
40,2017-02-12 16:00:00,Yes,No Holiday,Winter,6.4,48.0,2.6,1945.0,-3.8,0.22,0.0,0.0,618
41,2017-02-12 17:00:00,Yes,No Holiday,Winter,6.0,51.0,2.5,1891.0,-3.3,0.06,0.0,0.0,572
42,2017-02-12 18:00:00,Yes,No Holiday,Winter,5.5,53.0,1.5,1697.0,-3.3,0.0,0.0,0.0,489
43,2017-02-12 19:00:00,Yes,No Holiday,Winter,5.0,52.0,2.3,1666.0,-4.0,0.0,0.0,0.0,385
44,2017-02-12 20:00:00,Yes,No Holiday,Winter,4.6,51.0,1.2,1585.0,-4.6,0.0,0.0,0.0,359
45,2017-02-12 21:00:00,Yes,No Holiday,Winter,4.1,55.0,1.2,1448.0,-4.1,0.0,0.0,0.0,377
46,2017-02-12 22:00:00,Yes,No Holiday,Winter,3.5,54.0,1.5,1446.0,-4.9,0.0,0.0,0.0,354
47,2017-02-12 23:00:00,Yes,No Holiday,Winter,4.0,56.0,1.0,1352.0,-4.0,0.0,0.0,0.0,366
48,2017-03-12 00:00:00,Yes,No Holiday,Winter,4.0,58.0,1.4,1296.0,-3.5,0.0,0.0,0.0,342
49,2017-03-12 01:00:00,Yes,No Holiday,Winter,3.9,69.0,1.7,485.0,-1.2,0.0,0.0,0.0,227
50,2017-03-12 02:00:00,Yes,No Holiday,Winter,3.3,79.0,1.4,830.0,0.0,0.0,0.0,0.0,228
51,2017-03-12 03:00:00,Yes,No Holiday,Winter,3.4,71.0,1.6,1011.0,-1.3,0.0,0.5,0.0,117
52,2017-03-12 04:00:00,Yes,No Holiday,Winter,3.5,73.0,1.0,1060.0,-0.8,0.0,0.0,0.0,76
53,2017-03-12 05:00:00,Yes,No Holiday,Winter,3.9,75.0,1.9,914.0,-0.1,0.0,0.0,0.0,32
54,2017-03-12 06:00:00,Yes,No Holiday,Winter,3.4,86.0,2.5,278.0,1.2,0.0,1.0,0.0,13
55,2017-03-12 07:00:00,Yes,No Holiday,Winter,3.1,91.0,1.2,129.0,1.7,0.0,0.0,0.0,22
56,2017-03-12 08:00:00,Yes,No Holiday,Winter,3.2,92.0,1.8,244.0,2.0,0.0,0.0,0.0,85
57,2017-03-12 09:00:00,Yes,No Holiday,Winter,3.5,91.0,1.8,231.0,2.1,0.02,2.5,0.0,152
58,2017-03-12 10:00:00,Yes,No Holiday,Winter,4.4,89.0,2.2,257.0,2.7,0.24,0.0,0.0,200
59,2017-03-12 11:00:00,Yes,No Holiday,Winter,5.1,87.0,1.4,321.0,3.1,0.25,0.0,0.0,273
60,2017-03-12 12:00:00,Yes,No Holiday,Winter,5.8,85.0,1.7,349.0,3.4,0.43,0.0,0.0,333
61,2017-03-12 13:00:00,Yes,No Holiday,Winter,6.8,81.0,1.9,390.0,3.7,0.6,0.0,0.0,495
62,2017-03-12 14:00:00,Yes,No Holiday,Winter,7.6,76.0,1.2,422.0,3.6,0.69,0.0,0.0,563
63,2017-03-12 15:00:00,Yes,No Holiday,Winter,8.0,73.0,1.6,433.0,3.4,0.53,0.0,0.0,621
64,2017-03-12 16:00:00,Yes,No Holiday,Winter,7.6,77.0,1.6,399.0,3.8,0.2,0.0,0.0,598
65,2017-03-12 17:00:00,Yes,No Holiday,Winter,6.7,82.0,1.5,358.0,3.8,0.05,0.0,0.0,545
66,2017-03-12 18:00:00,Yes,No Holiday,Winter,6.0,84.0,1.9,327.0,3.4,0.0,0.0,0.0,443
67,2017-03-12 19:00:00,Yes,No Holiday,Winter,5.7,85.0,1.7,309.0,3.3,0.0,0.0,0.0,422
68,2017-03-12 20:00:00,Yes,No Holiday,Winter,5.2,87.0,1.4,253.0,3.2,0.0,0.0,0.0,397
69,2017-03-12 21:00:00,Yes,No Holiday,Winter,4.7,87.0,1.2,247.0,2.7,0.0,0.0,0.0,385
70,2017-03-12 22:00:00,Yes,No Holiday,Winter,4.3,89.0,1.8,201.0,2.6,0.0,0.0,0.0,350
71,2017-03-12 23:00:00,Yes,No Holiday,Winter,3.9,90.0,1.3,194.0,2.4,0.0,0.0,0.0,303
72,2017-04-12 00:00:00,Yes,No Holiday,Winter,4.2,88.0,0.6,216.0,2.3,0.0,0.0,0.0,285
73,2017-04-12 01:00:00,Yes,No Holiday,Winter,4.3,87.0,0.5,221.0,2.3,0.0,0.0,0.0,186
74,2017-04-12 02:00:00,Yes,No Holiday,Winter,4.4,87.0,1.8,207.0,2.4,0.0,0.0,0.0,112
75,2017-04-12 03:00:00,Yes,No Holiday,Winter,3.6,85.0,2.3,206.0,1.3,0.0,0.0,0.0,65
76,2017-04-12 04:00:00,Yes,No Holiday,Winter,2.8,89.0,1.5,130.0,1.1,0.0,0.0,0.0,41
77,2017-04-12 05:00:00,Yes,No Holiday,Winter,2.0,83.0,2.7,253.0,-0.5,0.0,0.0,0.0,82
78,2017-04-12 06:00:00,Yes,No Holiday,Winter,1.2,76.0,3.7,371.0,-2.5,0.0,0.1,0.0,200
79,2017-04-12 07:00:00,Yes,No Holiday,Winter,0.2,68.0,3.4,702.0,-5.0,0.0,0.0,0.0,498
80,2017-04-12 08:00:00,Yes,No Holiday,Winter,-0.8,69.0,3.5,954.0,-5.7,0.01,0.0,0.0,937
81,2017-04-12 09:00:00,Yes,No Holiday,Winter,-1.5,47.0,4.2,1888.0,-11.3,0.22,0.0,0.0,509
82,2017-04-12 10:00:00,Yes,No Holiday,Winter,-1.1,40.0,4.5,2000.0,-13.0,0.64,0.0,0.0,311
83,2017-04-12 11:00:00,Yes,No Holiday,Winter,-0.5,41.0,4.1,1799.0,-12.1,0.94,0.0,0.0,379
84,2017-04-12 12:00:00,Yes,No Holiday,Winter,-0.3,38.0,4.8,1823.0,-12.9,1.11,0.0,0.0,393
85,2017-04-12 13:00:00,Yes,No Holiday,Winter,0.0,30.0,5.4,1938.0,-15.5,1.17,0.0,0.0,391
86,2017-04-12 14:00:00,Yes,No Holiday,Winter,0.1,27.0,4.5,2000.0,-16.7,1.09,0.0,0.0,338
87,2017-04-12 15:00:00,Yes,No Holiday,Winter,-0.1,25.0,5.8,2000.0,-17.8,0.88,0.0,0.0,341
88,2017-04-12 16:00:00,Yes,No Holiday,Winter,-0.2,23.0,4.7,2000.0,-18.8,0.55,0.0,0.0,375
89,2017-04-12 17:00:00,Yes,No Holiday,Winter,-1.3,26.0,5.3,2000.0,-18.3,0.18,0.0,0.0,515
90,2017-04-12 18:00:00,Yes,No Holiday,Winter,-2.1,29.0,3.9,2000.0,-17.7,0.0,0.0,0.0,807
91,2017-04-12 19:00:00,Yes,No Holiday,Winter,-2.9,32.0,3.2,2000.0,-17.3,0.0,0.0,0.0,568
92,2017-04-12 20:00:00,Yes,No Holiday,Winter,-3.6,38.0,3.0,2000.0,-15.8,0.0,0.0,0.0,398
93,2017-04-12 21:00:00,Yes,No Holiday,Winter,-4.6,43.0,4.5,2000.0,-15.3,0.0,0.0,0.0,397
94,2017-04-12 22:00:00,Yes,No Holiday,Winter,-5.3,45.0,2.5,2000.0,-15.3,0.0,0.0,0.0,353
95,2017-04-12 23:00:00,Yes,No Holiday,Winter,-5.8,44.0,2.4,2000.0,-16.1,0.0,0.0,0.0,248
96,2017-05-12 00:00:00,Yes,No Holiday,Winter,-6.1,42.0,2.6,2000.0,-16.9,0.0,0.0,0.0,216
97,2017-05-12 01:00:00,Yes,No Holiday,Winter,-6.5,41.0,2.8,2000.0,-17.6,0.0,0.0,0.0,198
98,2017-05-12 02:00:00,Yes,No Holiday,Winter,-6.8,41.0,2.5,2000.0,-17.8,0.0,0.0,0.0,124
99,2017-05-12 03:00:00,Yes,No Holiday,Winter,-6.9,39.0,2.0,2000.0,-18.5,0.0,0.0,0.0,62
100,2017-05-12 04:00:00,Yes,No Holiday,Winter,-7.2,34.0,3.0,2000.0,-20.4,0.0,0.0,0.0,42
101,2017-05-12 05:00:00,Yes,No Holiday,Winter,-7.4,33.0,2.6,2000.0,-20.9,0.0,0.0,0.0,82
102,2017-05-12 06:00:00,Yes,No Holiday,Winter,-7.4,34.0,3.2,2000.0,-20.6,0.0,0.0,0.0,172
103,2017-05-12 07:00:00,Yes,No Holiday,Winter,-7.5,33.0,2.2,2000.0,-21.0,0.0,0.0,0.0,381
104,2017-05-12 08:00:00,Yes,No Holiday,Winter,-8.1,36.0,1.6,2000.0,-20.5,0.01,0.0,0.0,812
105,2017-05-12 09:00:00,Yes,No Holiday,Winter,-7.6,31.0,1.3,1974.0,-21.8,0.21,0.0,0.0,462
106,2017-05-12 10:00:00,Yes,No Holiday,Winter,-5.5,26.0,2.8,1967.0,-22.0,0.64,0.0,0.0,269
107,2017-05-12 11:00:00,Yes,No Holiday,Winter,-3.9,25.0,0.0,1959.0,-21.0,0.0,0.0,0.0,334
108,2017-05-12 12:00:00,Yes,No Holiday,Winter,-2.3,25.0,0.0,1962.0,-19.7,0.0,0.0,0.0,321
109,2017-05-12 13:00:00,Yes,No Holiday,Winter,-1.6,27.0,0.0,1955.0,-18.2,0.0,0.0,0.0,325
110,2017-05-12 14:00:00,Yes,No Holiday,Winter,-1.1,28.0,0.0,2000.0,-17.3,0.0,0.0,0.0,334
111,2017-05-12 15:00:00,Yes,No Holiday,Winter,-0.7,28.0,0.0,2000.0,-16.9,0.0,0.0,0.0,353
112,2017-05-12 16:00:00,Yes,No Holiday,Winter,-0.5,30.0,0.0,2000.0,-16.0,0.0,0.0,0.0,435
113,2017-05-12 17:00:00,Yes,No Holiday,Winter,-1.6,35.0,0.0,2000.0,-15.1,0.0,0.0,0.0,529
114,2017-05-12 18:00:00,Yes,No Holiday,Winter,-2.6,40.0,0.0,2000.0,-14.4,0.0,0.0,0.0,789
115,2017-05-12 19:00:00,Yes,No Holiday,Winter,-3.2,45.0,0.0,2000.0,-13.5,0.0,0.0,0.0,597
